date, log_sales, log_price, newyear, valentine, christmas, mother
2016-01-03,  6.326149,  3.817932,       0,         0,         0,      0
2016-01-10,  6.300786,  3.841815,       0,         0,         0,      0
2016-01-17,  6.186209,  3.873490,       0,         0,         0,      0
2016-01-24,  6.192362,  3.871409,       0,         0,         0,      0
2016-01-31,  6.326149,  3.837730,       0,         0,         0,      0
2016-02-07,  6.461468,  3.847804,       0,         1,         0,      0
2016-02-14,  6.236370,  3.850360,       0,         0,         0,      0
2016-02-21,  6.369901,  3.846738,       0,         0,         0,      0
2016-02-28,  6.293419,  3.855453,       0,         0,         0,      0
2016-03-06,  6.315358,  3.849296,       0,         0,         0,      0
2016-03-13,  6.369901,  3.859887,       0,         0,         0,      0
2016-03-20,  6.291569,  3.845456,       0,         0,         0,      0
2016-03-27,  6.280396,  3.877639,       0,         0,         0,      0
2016-04-03,  6.426488,  3.827989,       0,         0,         0,      0
2016-04-10,  6.393591,  3.839667,       0,         0,         0,      0
2016-04-17,  6.336826,  3.865141,       0,         0,         0,      0
2016-04-24,  6.375025,  3.862623,       0,         0,         0,      0
2016-05-01,  6.276643,  3.892432,       0,         0,         0,      1
2016-05-08,  6.525030,  3.875566,       0,         0,         0,      0
2016-05-15,  6.287859,  3.858411,       0,         0,         0,      0
2016-05-22,  6.423247,  3.847591,       0,         0,         0,      0
2016-05-29,  6.401917,  3.827989,       0,         0,         0,      0
2016-06-05,  6.322565,  3.835142,       0,         0,         0,      0
2016-06-12,  6.276643,  3.838807,       0,         0,         0,      0
2016-06-19,  6.267201,  3.838807,       0,         0,         0,      0
2016-06-26,  6.295266,  3.848444,       0,         0,         0,      0
2016-07-03,  6.318968,  3.832547,       0,         0,         0,      0
2016-07-10,  6.284134,  3.838161,       0,         0,         0,      0
2016-07-17,  6.342121,  3.829076,       0,         0,         0,      0
2016-07-24,  6.212606,  3.870576,       0,         0,         0,      0
2016-07-31,  6.255750,  3.844600,       0,         0,         0,      0
2016-08-07,  6.282267,  3.849296,       0,         0,         0,      0
2016-08-14,  6.253829,  3.878052,       0,         0,         0,      0
2016-08-21,  6.338594,  3.842244,       0,         0,         0,      0
2016-08-28,  6.429719,  3.865141,       0,         0,         0,      0
2016-09-04,  6.345636,  3.861361,       0,         0,         0,      0
2016-09-11,  6.313548,  3.816833,       0,         0,         0,      0
2016-09-18,  6.246107,  3.855876,       0,         0,         0,      0
2016-09-25,  6.309918,  3.858833,       0,         0,         0,      0
2016-10-02,  6.265301,  3.821004,       0,         0,         0,      0
2016-10-09,  6.246107,  3.872034,       0,         0,         0,      0
2016-10-16,  6.300786,  3.854394,       0,         0,         0,      0
2016-10-23,  6.267201,  3.820127,       0,         0,         0,      0
2016-10-30,  6.282267,  3.849935,       0,         0,         0,      0
2016-11-06,  6.287859,  3.861782,       0,         0,         0,      0
2016-11-13,  6.289716,  3.862623,       0,         0,         0,      0
2016-11-20,  6.234411,  3.865770,       0,         0,         0,      0
2016-11-27,  6.340359,  3.819688,       0,         0,         0,      0
2016-12-04,  6.169611,  3.851211,       0,         0,         0,      0
2016-12-11,  6.311735,  3.811761,       0,         0,         0,      0
2016-12-18,  6.542472,  3.808439,       0,         0,         1,      0
2016-12-25,  6.558198,  3.832114,       1,         0,         0,      0
